,Object ID,Title,Post Type,Author,Created At,URL,Points,Number of Comments
2294835,16046078,Ask_HN: What do you want to accomplish in 2018?,ask_hn,putnam,2018-01-01 14:02:58,,3,2
2294850,16046211,Show_HN: Medium Play – Listen to audio versions of medium stories,show_hn,swapagarwal,2018-01-01 14:45:01,https://chrome.google.com/webstore/detail/medium-play/bjacbjpkijglgooedjahapjohhofopba,1,0
2294854,16046225,Democrats in High-Tax States Plot to Blunt Impact of New Tax Law,story,based2,2018-01-01 14:48:34,https://www.nytimes.com/2017/12/31/business/high-tax-states-law.html?src=trending&module=Ribbon&version=context&region=Header&action=click&contentCollection=Trending&pgtype=article,3,0
2294855,16046229,Air Force Could Test “Flying Aircraft Carriers” as Early as Next Year,story,Shivetya,2018-01-01 14:50:32,http://www.nasdaq.com/article/air-force-could-test-flying-aircraft-carriers-as-early-as-next-year-cm898778,2,0
2294869,16046339,5 Quotes to Help You Maintain Entrepreneurial Persistence,story,alexalexander,2018-01-01 15:20:25,http://www.computerscience-entrepreneurship.ml/2018/01/5-quotes-to-help-you-maintain.html,2,1
2294870,16046347,AI and Deep Learning in 2017 – A Year in Review,story,MrQuincle,2018-01-01 15:22:27,http://www.wildml.com/2017/12/ai-and-deep-learning-in-2017-a-year-in-review/,188,6
2294887,16046501,Ask_HN: What are your new year resolutions and hacks of achieving them,ask_hn,paraschopra,2018-01-01 15:56:55,,2,0
2294913,16046717,Show_HN: Bored Hackers – A public chatroom for hackers,show_hn,ploggingdev,2018-01-01 16:43:47,https://www.boredhackers.com/,14,5
2294933,16046939,Ask_HN: Hire a company/ freelancer to develop Email templates,ask_hn,s-stude,2018-01-01 17:25:51,,1,0
2294952,16047082,Alibaba’s UC Browser is dominating in Asian markets with lower-end smartphones,story,olivermarks,2018-01-01 17:54:42,https://www.wsj.com/articles/a-browser-youve-never-heard-of-is-dethroning-google-in-asia-1514808002,130,125
2294977,16047381,ArxivML: An Alexa skill to read latest machine learning papers from arXiv,story,rch,2018-01-01 18:51:39,https://medium.com/@aminert/arxivml-an-alexa-skill-to-read-latest-machine-learning-papers-from-arxiv-5da0562c7b79,1,0
2294992,16047515,Show_HN: Unofficial ProtonMail Desktop App,show_hn,vl-y,2018-01-01 19:18:03,https://github.com/vladimiry/protonmail-desktop-app,2,0
2295013,16047795,Ask_HN: What are some interesting books you read in 2017?,ask_hn,sukhadatkeereo,2018-01-01 20:14:46,,91,31
2295036,16048013,Show HN: Fix All Conflicts – command line app for fixing merge conflicts,show_hn,mkchoi212,2018-01-01 20:59:03,https://github.com/mkchoi212/fac,10,1
2295067,16048352,Using Passwords and Config in Kubernetes Pods as Volumes,story,kokster,2018-01-01 22:18:35,https://medium.com/kokster/using-passwords-and-config-in-kubernetes-part-ii-volume-mounts-12e375ae5ca0,2,0
2295316,16051098,Amazon Mistakenly Sends AWS Budget Emails Forecasting Free Tier Overages,story,iamondemand,2018-01-02 10:36:10,https://www.bleepingcomputer.com/news/cloud/amazon-mistakenly-sends-aws-budget-emails-forecasting-free-tier-overages/,3,0
2533879,18414218,Mobile Indie Spotlight Episode#3:Iron Snout-Provoking Users to Stick in the Game,story,andreasvourkos,2018-11-09 13:39:16,https://medium.com/@vourkosa/mobile-indie-spotlight-episode-3-iron-snout-bade6ea40b00,1,0
2533901,18414387,What to do once you admit that decentralizing everything never seems to work,story,octosphere,2018-11-09 14:08:09,http://hackernoon.com/decentralizing-everything-never-seems-to-work-2bb0461bd168,2,0
